Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
570,64.50320512820512,0.1875,Echo 0,1,Clique B
600,64.81370192307692,0.1875,Echo 0,1,Clique B
630,62.13942307692308,0.1875,Echo 0,1,Clique B
660,65.10416666666667,0.1875,Echo 0,1,Clique B
690,65.18429487179488,0.1875,Echo 0,1,Clique B
720,71.92508012820512,0.1875,Echo 0,1,Clique B
750,69.6514423076923,0.1875,Echo 0,1,Clique B
780,66.2860576923077,0.1875,Echo 0,1,Clique B
810,69.51121794871794,0.1875,Echo 0,1,Clique B
840,67.81850961538461,0.1875,Echo 0,1,Clique B
870,69.4511217948718,0.1875,Echo 0,1,Clique B
900,64.89383012820512,0.1875,Echo 0,1,Clique B
930,69.71153846153847,0.1875,Echo 0,1,Clique B
960,70.71314102564102,0.1875,Echo 0,1,Clique B
990,70.02203525641026,0.1875,Echo 0,1,Clique B
1020,61.88902243589744,0.1875,Echo 0,1,Clique B
1050,69.46113782051282,0.1875,Echo 0,1,Clique B
1080,69.97195512820512,0.1875,Echo 0,1,Clique B
1110,61.98918269230769,0.1875,Echo 0,1,Clique B
1140,67.58814102564102,0.1875,Echo 0,1,Clique B
1170,65.42467948717949,0.1875,Echo 0,1,Clique B
1200,68.34935897435898,0.1875,Echo 0,1,Clique B
1230,67.23758012820512,0.1875,Echo 0,1,Clique B
1260,70.71314102564102,0.1875,Echo 0,1,Clique B
1290,64.21274038461539,0.1875,Echo 0,1,Clique B
1320,69.70152243589743,0.1875,Echo 0,1,Clique B
1350,76.40224358974359,0.1875,Echo 0,1,Clique B
1380,72.37580128205128,0.1875,Echo 0,1,Clique B
1410,69.62139423076923,0.1875,Echo 0,1,Clique B
1440,65.03405448717949,0.1875,Echo 0,1,Clique B
1470,76.72275641025641,0.1875,Echo 0,1,Clique B
0,34.91586538461539,0.25,Echo 0,1,All
30,66.8369391025641,0.25,Echo 0,1,All
60,74.30889423076923,0.25,Echo 0,1,All
90,76.62259615384616,0.25,Echo 0,1,All
120,78.62580128205128,0.25,Echo 0,1,All
150,81.04967948717949,0.25,Echo 0,1,All
180,83.1630608974359,0.25,Echo 0,1,All
210,84.74559294871794,0.25,Echo 0,1,All
