Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
0,32.24158653846154,0.1875,StateOverride,1,All
30,60.49679487179487,0.1875,StateOverride,1,All
60,71.25400641025641,0.1875,StateOverride,1,All
90,73.66786858974359,0.1875,StateOverride,1,All
120,75.0,0.1875,StateOverride,1,All
150,75.58092948717949,0.1875,StateOverride,1,All
180,75.7011217948718,0.1875,StateOverride,1,All
210,75.65104166666667,0.1875,StateOverride,1,All
240,75.4306891025641,0.1875,StateOverride,1,All
270,74.9198717948718,0.1875,StateOverride,1,All
300,74.39903846153847,0.1875,StateOverride,1,All
330,73.42748397435898,0.1875,StateOverride,1,All
360,72.265625,0.1875,StateOverride,1,All
390,70.69310897435898,0.1875,StateOverride,1,All
420,68.11899038461539,0.1875,StateOverride,1,All
450,65.21434294871794,0.1875,StateOverride,1,All
480,62.109375,0.1875,StateOverride,1,All
510,59.635416666666664,0.1875,StateOverride,1,All
540,57.99278846153846,0.1875,StateOverride,1,All
570,57.84254807692308,0.1875,StateOverride,1,All
600,59.845753205128204,0.1875,StateOverride,1,All
630,62.69030448717949,0.1875,StateOverride,1,All
660,65.9354967948718,0.1875,StateOverride,1,All
690,67.23758012820512,0.1875,StateOverride,1,All
720,65.95552884615384,0.1875,StateOverride,1,All
750,64.07251602564102,0.1875,StateOverride,1,All
780,62.970753205128204,0.1875,StateOverride,1,All
810,62.53004807692308,0.1875,StateOverride,1,All
840,62.24959935897436,0.1875,StateOverride,1,All
870,62.16947115384615,0.1875,StateOverride,1,All
900,62.04927884615385,0.1875,StateOverride,1,All
930,61.92908653846154,0.1875,StateOverride,1,All
960,61.77884615384615,0.1875,StateOverride,1,All
990,61.71875,0.1875,StateOverride,1,All
1020,61.64863782051282,0.1875,StateOverride,1,All
1050,61.54847756410256,0.1875,StateOverride,1,All
1080,61.41826923076923,0.1875,StateOverride,1,All
1110,61.35817307692308,0.1875,StateOverride,1,All
1140,61.25801282051282,0.1875,StateOverride,1,All
1170,61.17788461538461,0.1875,StateOverride,1,All
1200,60.94751602564103,0.1875,StateOverride,1,All
1230,60.73717948717949,0.1875,StateOverride,1,All
1260,60.627003205128204,0.1875,StateOverride,1,All
1290,60.466746794871796,0.1875,StateOverride,1,All
1320,60.30649038461539,0.1875,StateOverride,1,All
1350,60.076121794871796,0.1875,StateOverride,1,All
1380,59.92588141025641,0.1875,StateOverride,1,All
1410,59.78565705128205,0.1875,StateOverride,1,All
1440,59.67548076923077,0.1875,StateOverride,1,All
1470,59.44511217948718,0.1875,StateOverride,1,All
0,38.37139423076923,0.1875,StateOverride,1,Clique A
30,39.21274038461539,0.1875,StateOverride,1,Clique A
60,39.75360576923077,0.1875,StateOverride,1,Clique A
90,41.26602564102564,0.1875,StateOverride,1,Clique A
120,43.880208333333336,0.1875,StateOverride,1,Clique A
150,45.30248397435897,0.1875,StateOverride,1,Clique A
180,45.813301282051285,0.1875,StateOverride,1,Clique A
210,46.07371794871795,0.1875,StateOverride,1,Clique A
240,45.963541666666664,0.1875,StateOverride,1,Clique A
270,45.55288461538461,0.1875,StateOverride,1,Clique A
300,45.16225961538461,0.1875,StateOverride,1,Clique A
330,44.71153846153846,0.1875,StateOverride,1,Clique A
360,44.1806891025641,0.1875,StateOverride,1,Clique A
390,43.23918269230769,0.1875,StateOverride,1,Clique A
420,42.16746794871795,0.1875,StateOverride,1,Clique A
450,40.98557692307692,0.1875,StateOverride,1,Clique A
480,40.06410256410256,0.1875,StateOverride,1,Clique A
510,39.87379807692308,0.1875,StateOverride,1,Clique A
540,39.83373397435897,0.1875,StateOverride,1,Clique A
570,39.763621794871796,0.1875,StateOverride,1,Clique A
600,39.66346153846154,0.1875,StateOverride,1,Clique A
630,39.59334935897436,0.1875,StateOverride,1,Clique A
