Iterations,Accuracy (%),Agg,ATK,Group,H.M.E.
60,9.805689102564102,TM,SandTrap,global,False
90,9.805689102564102,TM,SandTrap,global,False
120,9.805689102564102,TM,SandTrap,global,False
150,9.805689102564102,TM,SandTrap,global,False
180,9.805689102564102,TM,SandTrap,global,False
210,9.805689102564102,TM,SandTrap,global,False
240,9.805689102564102,TM,SandTrap,global,False
270,9.805689102564102,TM,SandTrap,global,False
300,9.805689102564102,TM,SandTrap,global,False
330,9.805689102564102,TM,SandTrap,global,False
360,9.805689102564102,TM,SandTrap,global,False
390,9.805689102564102,TM,SandTrap,global,False
420,9.805689102564102,TM,SandTrap,global,False
450,9.805689102564102,TM,SandTrap,global,False
480,9.805689102564102,TM,SandTrap,global,False
510,9.805689102564102,TM,SandTrap,global,False
540,9.805689102564102,TM,SandTrap,global,False
570,9.805689102564102,TM,SandTrap,global,False
600,9.805689102564102,TM,SandTrap,global,False
630,9.805689102564102,TM,SandTrap,global,False
660,9.805689102564102,TM,SandTrap,global,False
690,9.805689102564102,TM,SandTrap,global,False
720,9.805689102564102,TM,SandTrap,global,False
750,9.805689102564102,TM,SandTrap,global,False
780,9.805689102564102,TM,SandTrap,global,False
810,9.805689102564102,TM,SandTrap,global,False
840,9.805689102564102,TM,SandTrap,global,False
870,9.805689102564102,TM,SandTrap,global,False
0,9.805689102564102,TM,SandTrap,global,True
30,9.805689102564102,TM,SandTrap,global,True
60,9.805689102564102,TM,SandTrap,global,True
90,9.805689102564102,TM,SandTrap,global,True
120,9.805689102564102,TM,SandTrap,global,True
150,9.805689102564102,TM,SandTrap,global,True
180,9.805689102564102,TM,SandTrap,global,True
210,9.805689102564102,TM,SandTrap,global,True
240,9.805689102564102,TM,SandTrap,global,True
270,9.805689102564102,TM,SandTrap,global,True
300,9.805689102564102,TM,SandTrap,global,True
330,9.805689102564102,TM,SandTrap,global,True
360,9.805689102564102,TM,SandTrap,global,True
390,9.805689102564102,TM,SandTrap,global,True
420,9.805689102564102,TM,SandTrap,global,True
